Rank,Artist Name,In AuraDB,Status,Priority,Notes
1,"Billie Eilish",YES,✅ LOADED,COMPLETE,"Top artist - fully loaded with discography"
2,"Bad Bunny",YES,✅ LOADED,COMPLETE,"100% popularity - fully loaded"
3,"Taylor Swift",YES,✅ LOADED,COMPLETE,"Most followers (139.5M) - fully loaded with eras"
4,"The Weeknd",YES,✅ LOADED,COMPLETE,"97% popularity - fully loaded"
5,"Drake",YES,✅ LOADED,COMPLETE,"98% popularity - fully loaded"
6,"Bruno Mars",YES,✅ LOADED,COMPLETE,"93% popularity - fully loaded"
7,"Ariana Grande",YES,✅ LOADED,COMPLETE,"93% popularity - fully loaded with comprehensive eras"
8,"Ed Sheeran",YES,✅ LOADED,COMPLETE,"121M followers - fully loaded"
9,"Kendrick Lamar",NO,❌ MISSING,HIGH,"Top 10 artist - high priority for next batch"
10,"Eminem",YES,✅ LOADED,COMPLETE,"101.7M followers - fully loaded"
11,"BTS",YES,✅ LOADED,COMPLETE,"K-pop leaders - 79.6M followers"
12,"Lady Gaga",YES,✅ LOADED,COMPLETE,"Art pop icon - fully loaded"
13,"Coldplay",NO,❌ MISSING,HIGH,"Major band - high priority"
14,"Sabrina Carpenter",NO,❌ MISSING,HIGH,"Rising star - high priority"
15,"KAROL G",NO,❌ MISSING,HIGH,"Latin music leader - high priority"
16,"SZA",NO,❌ MISSING,HIGH,"R&B star - high priority"
17,"Justin Bieber",YES,✅ LOADED,COMPLETE,"83M followers - fully loaded"
18,"Post Malone",YES,✅ LOADED,COMPLETE,"47.2M followers - fully loaded"
19,"Morgan Wallen",NO,❌ MISSING,HIGH,"Country superstar - high priority"
20,"Rihanna",YES,✅ LOADED,COMPLETE,"67.4M followers - fully loaded"
21,"Lana Del Rey",NO,❌ MISSING,HIGH,"Alternative pop icon - high priority"
22,"Dua Lipa",YES,✅ LOADED,COMPLETE,"46.2M followers - fully loaded"
23,"Queen",NO,❌ MISSING,MEDIUM,"Classic rock legends - medium priority"
24,"Maroon 5",NO,❌ MISSING,MEDIUM,"Pop rock band - medium priority"
25,"Fuerza Regida",NO,❌ MISSING,MEDIUM,"Regional Mexican - medium priority"
26,"Linkin Park",NO,❌ MISSING,MEDIUM,"Nu-metal legends - medium priority"
27,"XXXTENTACION",NO,❌ MISSING,MEDIUM,"Hip-hop artist - medium priority"
28,"Shakira",NO,❌ MISSING,MEDIUM,"Latin pop icon - medium priority"
29,"Tate McRae",NO,❌ MISSING,MEDIUM,"Pop rising star - medium priority"
30,"Benson Boone",NO,❌ MISSING,MEDIUM,"Emerging artist - medium priority"
31,"Tyler, The Creator",NO,❌ MISSING,MEDIUM,"Hip-hop innovator - medium priority"
32,"Travis Scott",NO,❌ MISSING,MEDIUM,"Hip-hop star - medium priority"
33,"Arctic Monkeys",YES,✅ LOADED,COMPLETE,"Indie rock - 30.8M followers"
34,"Peso Pluma",NO,❌ MISSING,MEDIUM,"Regional Mexican star - medium priority"
35,"David Guetta",NO,❌ MISSING,MEDIUM,"EDM producer - medium priority"
36,"Junior H",NO,❌ MISSING,MEDIUM,"Regional Mexican - medium priority"
37,"Olivia Rodrigo",YES,✅ LOADED,COMPLETE,"Gen Z pop star - 46.8M followers"
38,"Chris Brown",NO,❌ MISSING,MEDIUM,"R&B/Pop artist - medium priority"
39,"Michael Jackson",NO,❌ MISSING,MEDIUM,"King of Pop - medium priority"
40,"sombr",NO,❌ MISSING,LOW,"Emerging artist - low priority"
41,"Beyoncé",YES,✅ LOADED,COMPLETE,"40.5M followers - fully loaded"
42,"Doja Cat",NO,❌ MISSING,MEDIUM,"Pop-rap star - medium priority"
43,"Selena Gomez",NO,❌ MISSING,MEDIUM,"Pop artist - medium priority"
44,"Alex Warren",NO,❌ MISSING,LOW,"Social media artist - low priority"
45,"Juice WRLD",NO,❌ MISSING,MEDIUM,"Hip-hop artist - medium priority"
46,"Imagine Dragons",NO,❌ MISSING,MEDIUM,"Alternative rock - medium priority"
47,"Shawn Mendes",NO,❌ MISSING,MEDIUM,"Pop singer-songwriter - medium priority"
48,"Metallica",NO,❌ MISSING,MEDIUM,"Metal legends - medium priority"
49,"The Beatles",NO,❌ MISSING,MEDIUM,"Music legends - medium priority"
50,"Gracie Abrams",NO,❌ MISSING,MEDIUM,"Indie pop - medium priority"
51,"Chappell Roan",NO,❌ MISSING,MEDIUM,"Rising pop star - medium priority"
52,"Twenty One Pilots",NO,❌ MISSING,MEDIUM,"Alternative duo - medium priority"
53,"ROSÉ",NO,❌ MISSING,MEDIUM,"K-pop solo artist - medium priority"
54,"Frank Ocean",YES,✅ LOADED,COMPLETE,"Alternative R&B - 19.3M followers"
55,"Sia",NO,❌ MISSING,MEDIUM,"Pop artist - medium priority"
56,"Calvin Harris",NO,❌ MISSING,MEDIUM,"EDM producer - medium priority"
57,"Charli xcx",NO,❌ MISSING,MEDIUM,"Pop innovator - medium priority"
58,"J. Cole",NO,❌ MISSING,MEDIUM,"Hip-hop artist - medium priority"
59,"Playboi Carti",NO,❌ MISSING,MEDIUM,"Hip-hop artist - medium priority"
60,"Zach Bryan",NO,❌ MISSING,MEDIUM,"Country artist - medium priority"
61,"Future",NO,❌ MISSING,MEDIUM,"Hip-hop artist - medium priority"
62,"AC/DC",NO,❌ MISSING,MEDIUM,"Rock legends - medium priority"
63,"Teddy Swims",NO,❌ MISSING,MEDIUM,"Soul/R&B artist - medium priority"
64,"Kali Uchis",NO,❌ MISSING,MEDIUM,"Alternative R&B - medium priority"
65,"Radiohead",NO,❌ MISSING,MEDIUM,"Alternative rock legends - medium priority"
66,"Guns N' Roses",NO,❌ MISSING,MEDIUM,"Hard rock legends - medium priority"
67,"Tito Double P",NO,❌ MISSING,LOW,"Regional Mexican - low priority"
68,"Stray Kids",NO,❌ MISSING,MEDIUM,"K-pop group - medium priority"
69,"Red Hot Chili Peppers",NO,❌ MISSING,MEDIUM,"Alternative rock - medium priority"
70,"Pitbull",NO,❌ MISSING,MEDIUM,"Latin pop/hip-hop - medium priority"
71,"Nirvana",NO,❌ MISSING,MEDIUM,"Grunge legends - medium priority"
72,"The Chainsmokers",NO,❌ MISSING,MEDIUM,"EDM duo - medium priority"
73,"The Neighbourhood",NO,❌ MISSING,MEDIUM,"Alternative rock - medium priority"
74,"Katy Perry",NO,❌ MISSING,MEDIUM,"Pop star - medium priority"
75,"BLACKPINK",NO,❌ MISSING,MEDIUM,"K-pop group - medium priority"
76,"Fleetwood Mac",NO,❌ MISSING,MEDIUM,"Classic rock - medium priority"
77,"Khalid",NO,❌ MISSING,MEDIUM,"R&B artist - medium priority"
78,"Metro Boomin",NO,❌ MISSING,MEDIUM,"Hip-hop producer - medium priority"
79,"The Marías",NO,❌ MISSING,MEDIUM,"Indie pop - medium priority"
80,"James Arthur",NO,❌ MISSING,MEDIUM,"Pop singer-songwriter - medium priority"
81,"Luke Combs",NO,❌ MISSING,MEDIUM,"Country artist - medium priority"
82,"Grupo Frontera",NO,❌ MISSING,MEDIUM,"Regional Mexican - medium priority"
83,"A$AP Rocky",NO,❌ MISSING,MEDIUM,"Hip-hop artist - medium priority"
84,"Cigarettes After Sex",NO,❌ MISSING,LOW,"Ambient pop - low priority"
85,"Lil Wayne",NO,❌ MISSING,MEDIUM,"Hip-hop legend - medium priority"
86,"Nicki Minaj",NO,❌ MISSING,MEDIUM,"Hip-hop star - medium priority"
87,"Lil Tecca",NO,❌ MISSING,LOW,"Hip-hop artist - low priority"
88,"j-hope",NO,❌ MISSING,MEDIUM,"BTS member solo - medium priority"
89,"Harry Styles",YES,✅ LOADED,COMPLETE,"33.8M followers - fully loaded"
90,"Neton Vega",NO,❌ MISSING,LOW,"Regional Mexican - low priority"
91,"PARTYNEXTDOOR",NO,❌ MISSING,LOW,"R&B artist - low priority"
92,"Alan Walker",NO,❌ MISSING,MEDIUM,"EDM producer - medium priority"
93,"JENNIE",NO,❌ MISSING,MEDIUM,"BLACKPINK member - medium priority"
94,"Jimin",NO,❌ MISSING,MEDIUM,"BTS member solo - medium priority"
95,"NIKI",NO,❌ MISSING,LOW,"Indonesian R&B - low priority"
96,"21 Savage",NO,❌ MISSING,MEDIUM,"Hip-hop artist - medium priority"
97,"Lil Baby",NO,❌ MISSING,MEDIUM,"Hip-hop artist - medium priority"
98,"Lorde",NO,❌ MISSING,MEDIUM,"Alternative pop - medium priority"
99,"Green Day",NO,❌ MISSING,MEDIUM,"Punk rock legends - medium priority"
100,"Daniel Caesar",NO,❌ MISSING,MEDIUM,"R&B artist - medium priority" 